chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
ii,,40,1,79,2/4,18,2,1,1,G,V,,ii,,,,,FALSE
V2/ii,,40,2,80,2/4,18,2,1,1,G,V,,V,,2,,ii,FALSE
ii6,,41,1,81,2/4,18,2,1,1.5,G,V,,ii,,6,,,FALSE
V2,,41,2.5,82.5,2/4,18,2,1,0.5,G,V,,V,,2,,,FALSE
I6,,42,1,83,2/4,18,2,1,0.5,G,V,,I,,6,,,FALSE
ii6,,42,1.5,83.5,2/4,18,2,1,0.5,G,V,,ii,,6,,,FALSE
V(64),,42,2,84,2/4,18,2,1,0.5,G,V,,V,,,64,,FALSE
V7,,42,2.5,84.5,2/4,18,2,1,0.5,G,V,,V,,7,,,FALSE
I\\\\,,43,1,85,2/4,18,2,1,2,G,V,,I,,,,,TRUE
I,,44,1,87,2/4,18,2,1,1,G,V,,I,,,,,FALSE
V2,,44,2,88,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,45,1,89,2/4,18,2,1,1.5,G,V,,I,,6,,,FALSE
V43,,45,2.5,90.5,2/4,18,2,1,0.5,G,V,,V,,43,,,FALSE
I,,46,1,91,2/4,18,2,1,0.5,G,V,,I,,,,,FALSE
V6,,46,1.5,91.5,2/4,18,2,1,0.5,G,V,,V,,6,,,FALSE
vi7,,46,2,92,2/4,18,2,1,0.5,G,V,,vi,,7,,,FALSE
V/V,,46,2.5,92.5,2/4,18,2,1,0.5,G,V,,V,,,,V,FALSE
V\\\\,,47,1,93,2/4,18,2,1,2,G,V,,V,,,,,TRUE
ii,,48,1,95,2/4,18,2,1,1,G,V,,ii,,,,,FALSE
V2/ii,,48,2,96,2/4,18,2,1,1,G,V,,V,,2,,ii,FALSE
ii6,,49,1,97,2/4,18,2,1,1.5,G,V,,ii,,6,,,FALSE
V43/ii,,49,2.5,98.5,2/4,18,2,1,0.5,G,V,,V,,43,,ii,FALSE
iii.iv,,50,1,99,2/4,18,2,1,0.5,G,iii,,iv,,,,,FALSE
V43/iv,,50,1.5,99.5,2/4,18,2,1,0.5,G,iii,,V,,43,,iv,FALSE
.Ger6,,50,2,100,2/4,18,2,1,1,G,iii,,Ger,,6,,,FALSE
V\\\\,,51,1,101,2/4,18,2,1,2,G,iii,,V,,,,,TRUE
i(+4+2),,52,1,103,2/4,18,2,1,0.5,G,iii,,i,,,6,,FALSE
i,,52,1.5,103.5,2/4,18,2,1,0.5,G,iii,,i,,,,,FALSE
V(64),,52,2,104,2/4,18,2,1,0.5,G,iii,,V,,,64,,FALSE
V7,,52,2.5,104.5,2/4,18,2,1,0.5,G,iii,,V,,7,,,FALSE
i(+4+2),,53,1,105,2/4,18,2,1,0.5,G,iii,,i,,,6,,FALSE
i\\\\,,53,1.5,105.5,2/4,18,2,1,0.5,G,iii,,i,,,,,TRUE
V(64),,53,2,106,2/4,18,2,1,0.5,G,iii,,V,,,64,,FALSE
V7,,53,2.5,106.5,2/4,18,2,1,0.5,G,iii,,V,,7,,,FALSE
i(+4+2),,54,1,107,2/4,18,2,1,0.5,G,iii,,i,,,6,,FALSE
i,,54,1.5,107.5,2/4,18,2,1,0.5,G,iii,,i,,,,,FALSE
V.#viio43/ii,,54,2,108,2/4,18,2,1,1,G,V,,#vii,o,43,,ii,FALSE
ii6,,55,1,109,2/4,18,2,1,0.5,G,V,,ii,,6,,,FALSE
ii,,55,1.5,109.5,2/4,18,2,1,0.5,G,V,,ii,,,,,FALSE
V(64),,55,2,110,2/4,18,2,1,0.5,G,V,,V,,,64,,FALSE
V7,,55,2.5,110.5,2/4,18,2,1,0.5,G,V,,V,,7,,,FALSE
I\\\\,,56,1,111,2/4,18,2,1,1,G,V,,I,,,,,TRUE
iii.V7,,56,2,112,2/4,18,2,1,1,G,iii,,V,,7,,,FALSE
i(4+2),,57,1,113,2/4,18,2,1,0.5,G,iii,,i,,,4+2,,FALSE
i,,57,1.5,113.5,2/4,18,2,1,0.5,G,iii,,i,,,,,FALSE
V(64),,57,2,114,2/4,18,2,1,0.5,G,iii,,V,,,64,,FALSE
V7,,57,2.5,114.5,2/4,18,2,1,0.5,G,iii,,V,,7,,,FALSE
i(4+2),,58,1,115,2/4,18,2,1,0.5,G,iii,,i,,,4+2,,FALSE
i\\\\,,58,1.5,115.5,2/4,18,2,1,0.5,G,iii,,i,,,,,TRUE
V(64),,58,2,116,2/4,18,2,1,0.5,G,iii,,V,,,64,,FALSE
V7,,58,2.5,116.5,2/4,18,2,1,0.5,G,iii,,V,,7,,,FALSE
i(4+2),,59,1,117,2/4,18,2,1,0.5,G,iii,,i,,,4+2,,FALSE
i,,59,1.5,117.5,2/4,18,2,1,0.5,G,iii,,i,,,,,FALSE
V.#viio43/ii,,59,2,118,2/4,18,2,1,1,G,V,,#vii,o,43,,ii,FALSE
ii6,,60,1,119,2/4,18,2,1,1,G,V,,ii,,6,,,FALSE
V(64),,60,2,120,2/4,18,2,1,0.5,G,V,,V,,,64,,FALSE
V7,,60,2.5,120.5,2/4,18,2,1,0.5,G,V,,V,,7,,,FALSE
I\\\\,,61,1,121,2/4,18,2,1,1,G,V,,I,,,,,TRUE
V2,,61,2,122,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,62,1,123,2/4,18,2,1,1,G,V,,I,,6,,,FALSE
V65,,62,2,124,2/4,18,2,1,1,G,V,,V,,65,,,FALSE
I,,63,1,125,2/4,18,2,1,1,G,V,,I,,,,,FALSE
V2,,63,2,126,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,64,1,127,2/4,18,2,1,1,G,V,,I,,6,,,FALSE
V7,,64,2,128,2/4,18,2,1,1,G,V,,V,,7,,,FALSE
I,,65,1,129,2/4,18,2,1,1,G,V,,I,,,,,FALSE
V2,,65,2,130,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,66,1,131,2/4,18,2,1,1,G,V,,I,,6,,,FALSE
V65,,66,2,132,2/4,18,2,1,1,G,V,,V,,65,,,FALSE
I\\\\,,67,1,133,2/4,18,2,1,1,G,V,,I,,,,,TRUE
V2,,67,2,134,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,68,1,135,2/4,18,2,1,1.5,G,V,,I,,6,,,FALSE
V6/ii,,68,2.5,136.5,2/4,18,2,1,0.5,G,V,,V,,6,,ii,FALSE
ii,,69,1,137,2/4,18,2,1,1,G,V,,ii,,,,,FALSE
V6,,69,2,138,2/4,18,2,1,1,G,V,,V,,6,,,FALSE
V7,,70,1,139,2/4,18,2,1,1.5,G,V,,V,,7,,,FALSE
V65,,70,2.5,140.5,2/4,18,2,1,0.5,G,V,,V,,65,,,FALSE
I,,71,1,141,2/4,18,2,1,0.5,G,V,,I,,,,,FALSE
V2/IV,,71,1.5,141.5,2/4,18,2,1,0.5,G,V,,V,,2,,IV,FALSE
IV6,,71,2,142,2/4,18,2,1,0.5,G,V,,IV,,6,,,FALSE
I6,,71,2.5,142.5,2/4,18,2,1,0.5,G,V,,I,,6,,,FALSE
IV,,72,1,143,2/4,18,2,1,0.5,G,V,,IV,,,,,FALSE
V43,,72,1.5,143.5,2/4,18,2,1,0.5,G,V,,V,,43,,,FALSE
I6,,72,2,144,2/4,18,2,1,0.5,G,V,,I,,6,,,FALSE
V65,,72,2.5,144.5,2/4,18,2,1,0.5,G,V,,V,,65,,,FALSE
I,,73,1,145,2/4,18,2,1,0.75,G,V,,I,,,,,FALSE
V6/vi,,73,1.75,145.75,2/4,18,2,1,0.5,G,V,,V,,6,,vi,FALSE
vi,,73,2.25,146.25,2/4,18,2,1,0.5,G,V,,vi,,,,,FALSE
#vii%7/V,,73,2.75,146.75,2/4,18,2,1,0.25,G,V,,#vii,%,7,,V,FALSE
V(64),,74,1,147,2/4,18,2,1,0.75,G,V,,V,,,64,,FALSE
V6/vi,,74,1.75,147.75,2/4,18,2,1,0.5,G,V,,V,,6,,vi,FALSE
vi,,74,2.25,148.25,2/4,18,2,1,0.5,G,V,,vi,,,,,FALSE
#vii%7/V,,74,2.75,148.75,2/4,18,2,1,0.25,G,V,,#vii,%,7,,V,FALSE
V(64),,75,1,149,2/4,18,2,1,1,G,V,,V,,,64,,FALSE
V[V7,,75,2,150,2/4,18,2,1,0.5,G,V,V,V,,7,,,FALSE
#viio7/V,,75,2.5,150.5,2/4,18,2,1,0.5,G,V,V,#vii,o,7,,V,FALSE
V(64)],,76,1,151,2/4,18,2,1,0.5,G,V,V,V,,,64,,FALSE
I,,76,1.5,151.5,2/4,18,2,1,0.5,G,V,,I,,,,,FALSE
V65,,76,2,152,2/4,18,2,1,0.5,G,V,,V,,65,,,FALSE
#viio65/V,,76,2.5,152.5,2/4,18,2,1,0.5,G,V,,#vii,o,65,,V,FALSE
V(64),,77,1,153,2/4,18,2,1,1.5,G,V,,V,,,64,,FALSE
V,,77,2.5,154.5,2/4,18,2,1,0.5,G,V,,V,,,,,FALSE
I,,78,1,155,2/4,18,2,1,1,G,V,,I,,,,,FALSE
ii65,,78,2,156,2/4,18,2,1,0.5,G,V,,ii,,65,,,FALSE
V7,,78,2.5,156.5,2/4,18,2,1,0.5,G,V,,V,,7,,,FALSE
I6,,79,1,157,2/4,18,2,1,0.5,G,V,,I,,6,,,FALSE
I,,79,1.5,157.5,2/4,18,2,1,2,G,V,,I,,,,,FALSE
vi,,80,1.5,159.5,2/4,18,2,1,0.5,G,V,,vi,,,,,FALSE
ii65,,80,2,160,2/4,18,2,1,0.5,G,V,,ii,,65,,,FALSE
V7,,80,2.5,160.5,2/4,18,2,1,0.5,G,V,,V,,7,,,FALSE
I\\\\,,81,1,161,2/4,18,2,1,4,G,V,,I,,,,,TRUE
v.VI,,83,1,165,2/4,18,2,1,1,G,v,,VI,,,,,FALSE
ii65,,83,2,166,2/4,18,2,1,0.5,G,v,,ii,,65,,,FALSE
V7,,83,2.5,166.5,2/4,18,2,1,0.5,G,v,,V,,7,,,FALSE
i6,,84,1,167,2/4,18,2,1,1,G,v,,i,,6,,,FALSE
i,,84,2,168,2/4,18,2,1,1,G,v,,i,,,,,FALSE
VI,,85,1,169,2/4,18,2,1,1,G,v,,VI,,,,,FALSE
ii65,,85,2,170,2/4,18,2,1,0.5,G,v,,ii,,65,,,FALSE
V7,,85,2.5,170.5,2/4,18,2,1,0.5,G,v,,V,,7,,,FALSE
i\\\\,,86,1,171,2/4,18,2,1,2,G,v,,i,,,,,TRUE
V,,87,1,173,2/4,18,2,1,2,G,v,,V,,,,,FALSE
i,,88,1,175,2/4,18,2,1,2,G,v,,i,,,,,FALSE
V43,,89,1,177,2/4,18,2,1,1,G,v,,V,,43,,,FALSE
i,,89,2,178,2/4,18,2,1,1,G,v,,i,,,,,FALSE
V,,90,1,179,2/4,18,2,1,2,G,v,,V,,,,,FALSE
.bIII.V,,91,1,181,2/4,18,2,1,2,G,bIII,,V,,,,,FALSE
I,,92,1,183,2/4,18,2,1,2,G,bIII,,I,,,,,FALSE
V43,,93,1,185,2/4,18,2,1,1,G,bIII,,V,,43,,,FALSE
I,,93,2,186,2/4,18,2,1,1,G,bIII,,I,,,,,FALSE
V,,94,1,187,2/4,18,2,1,1.5,G,bIII,,V,,,,,FALSE
iv.i,,94,2.5,188.5,2/4,18,2,1,0.5,G,iv,,i,,,,,FALSE
V43,,95,1,189,2/4,18,2,1,1,G,iv,,V,,43,,,FALSE
i,,95,2,190,2/4,18,2,1,1,G,iv,,i,,,,,FALSE
V6,,96,1,191,2/4,18,2,1,0.5,G,iv,,V,,6,,,FALSE
V,,96,1.5,191.5,2/4,18,2,1,0.5,G,iv,,V,,,,,FALSE
i6,,96,2,192,2/4,18,2,1,1,G,iv,,i,,6,,,FALSE
@none,,97,1,193,2/4,18,2,1,2,G,iv,,,,,,,FALSE
.bVI.V,,98,1,195,2/4,18,2,1,1.5,G,bVI,,V,,,,,FALSE
I,,98,2.5,196.5,2/4,18,2,1,0.5,G,bVI,,I,,,,,FALSE
V,,99,1,197,2/4,18,2,1,1.5,G,bVI,,V,,,,,FALSE
I6,,99,2.5,198.5,2/4,18,2,1,0.5,G,bVI,,I,,6,,,FALSE
V,,100,1,199,2/4,18,2,1,0.5,G,bVI,,V,,,,,FALSE
I6,,100,1.5,199.5,2/4,18,2,1,0.5,G,bVI,,I,,6,,,FALSE
V,,100,2,200,2/4,18,2,1,0.5,G,bVI,,V,,,,,FALSE
I6,,100,2.5,200.5,2/4,18,2,1,0.5,G,bVI,,I,,6,,,FALSE
V,,101,1,201,2/4,18,2,1,2,G,bVI,,V,,,,,FALSE
I,,102,1,203,2/4,18,2,1,2,G,bVI,,I,,,,,FALSE
V43,,103,1,205,2/4,18,2,1,2,G,bVI,,V,,43,,,FALSE
I6,,104,1,207,2/4,18,2,1,1,G,bVI,,I,,6,,,FALSE
I,,104,2,208,2/4,18,2,1,1,G,bVI,,I,,,,,FALSE
V,,105,1,209,2/4,18,2,1,2,G,bVI,,V,,,,,FALSE
I6,,106,1,211,2/4,18,2,1,1,G,bVI,,I,,6,,,FALSE
I,,106,2,212,2/4,18,2,1,1,G,bVI,,I,,,,,FALSE
V(4),,107,1,213,2/4,18,2,1,2,G,bVI,,V,,,4,,FALSE
V2,,108,1,215,2/4,18,2,1,1,G,bVI,,V,,2,,,FALSE
V43,,108,2,216,2/4,18,2,1,1,G,bVI,,V,,43,,,FALSE
I(4),,109,1,217,2/4,18,2,1,1,G,bVI,,I,,,4,,FALSE
I,,109,2,218,2/4,18,2,1,1,G,bVI,,I,,,,,FALSE
V2/IV,,110,1,219,2/4,18,2,1,1,G,bVI,,V,,2,,IV,FALSE
V43/IV,,110,2,220,2/4,18,2,1,1,G,bVI,,V,,43,,IV,FALSE
IV6,,111,1,221,2/4,18,2,1,1,G,bVI,,IV,,6,,,FALSE
I64,,111,2,222,2/4,18,2,1,1,G,bVI,,I,,64,,,FALSE
ii65,,112,1,223,2/4,18,2,1,1,G,bVI,,ii,,65,,,FALSE
V65/V,,112,2,224,2/4,18,2,1,1,G,bVI,,V,,65,,V,FALSE
V,,113,1,225,2/4,18,2,1,1.5,G,bVI,,V,,,,,FALSE
V6,,113,2.5,226.5,2/4,18,2,1,0.5,G,bVI,,V,,6,,,FALSE
.biii.V(4),,114,1,227,2/4,18,2,1,2,G,biii,,V,,,4,,FALSE
V7,,115,1,229,2/4,18,2,1,2,G,biii,,V,,7,,,FALSE
i,,116,1,231,2/4,18,2,1,1,G,biii,,i,,,,,FALSE
.bvii.iv,,116,2,232,2/4,18,2,1,1,G,bvii,,iv,,,,,FALSE
V7(4),,117,1,233,2/4,18,2,1,1,G,bvii,,V,,7,4,,FALSE
V7,,117,2,234,2/4,18,2,1,1,G,bvii,,V,,7,,,FALSE
i,,118,1,235,2/4,18,2,1,2,G,bvii,,i,,,,,FALSE
V7,,119,1,237,2/4,18,2,1,2,G,bvii,,V,,7,,,FALSE
#viio65,,120,1,239,2/4,18,2,1,2,G,bvii,,#vii,o,65,,,FALSE
ii%2/iv,,121,1,241,2/4,18,2,1,1,G,bvii,,ii,%,2,,iv,FALSE
V65/iv,,121,2,242,2/4,18,2,1,1,G,bvii,,V,,65,,iv,FALSE
i.#viio65,,122,1,243,2/4,18,2,1,1,G,i,,#vii,o,65,,,FALSE
V7,,122,2,244,2/4,18,2,1,1,G,i,,V,,7,,,FALSE
i,,123,1,245,2/4,18,2,1,2,G,i,,i,,,,,FALSE
V43(#7),,124,1,247,2/4,18,2,1,1,G,i,,V,,43,#7,,FALSE
V43,,124,2,248,2/4,18,2,1,1,G,i,,V,,43,,,FALSE
#viio65,,125,1,249,2/4,18,2,1,1,G,i,,#vii,o,65,,,FALSE
#viio43,,125,2,250,2/4,18,2,1,1,G,i,,#vii,o,43,,,FALSE
ii%2/iv,,126,1,251,2/4,18,2,1,1,G,i,,ii,%,2,,iv,FALSE
V65/iv,,126,2,252,2/4,18,2,1,1,G,i,,V,,65,,iv,FALSE
#viio65/ii,,127,1,253,2/4,18,2,1,1,G,i,,#vii,o,65,,ii,FALSE
#viio43/ii,,127,2,254,2/4,18,2,1,1,G,i,,#vii,o,43,,ii,FALSE
ii%2/v,,128,1,255,2/4,18,2,1,1,G,i,,ii,%,2,,v,FALSE
V65/v,,128,2,256,2/4,18,2,1,2,G,i,,V,,65,,v,FALSE
#viio65/v,,129,2,258,2/4,18,2,1,1,G,i,,#vii,o,65,,v,FALSE
#viio65/v,,130,1,259,2/4,18,2,1,2,G,i,,#vii,o,65,,v,FALSE
#viio6/V,,131,1,261,2/4,18,2,1,2,G,i,,#vii,o,6,,V,FALSE
#viio65/V,,132,1,263,2/4,18,2,1,8,G,i,,#vii,o,65,,V,FALSE
I.V65,,136,1,271,2/4,18,2,1,4,G,I,,V,,65,,,FALSE
V6,,138,1,275,2/4,18,2,1,2,G,I,,V,,6,,,FALSE
V65,,139,1,277,2/4,18,2,1,6,G,I,,V,,65,,,FALSE
V7,,142,1,283,2/4,18,2,1,8,G,I,,V,,7,,,FALSE
I6,,146,1,291,2/4,18,2,1,2,G,I,,I,,6,,,FALSE
V6,,147,1,293,2/4,18,2,1,2,G,I,,V,,6,,,FALSE
V65,,148,1,295,2/4,18,2,1,2,G,I,,V,,65,,,FALSE
V7,,149,1,297,2/4,18,2,1,2,G,I,,V,,7,,,FALSE
I6,,150,1,299,2/4,18,2,1,2,G,I,,I,,6,,,FALSE
I,,151,1,301,2/4,18,2,1,2,G,I,,I,,,,,FALSE
V65,,152,1,303,2/4,18,2,1,2,G,I,,V,,65,,,FALSE
V7,,153,1,305,2/4,18,2,1,2,G,I,,V,,7,,,FALSE
I6,,154,1,307,2/4,18,2,1,0.5,G,I,,I,,6,,,FALSE
vi,,154,1.5,307.5,2/4,18,2,1,0.5,G,I,,vi,,,,,FALSE
V(4),,154,2,308,2/4,18,2,1,0.5,G,I,,V,,,4,,FALSE
V2,,154,2.5,308.5,2/4,18,2,1,0.5,G,I,,V,,2,,,FALSE
I6,,155,1,309,2/4,18,2,1,0.5,G,I,,I,,6,,,FALSE
I,,155,1.5,309.5,2/4,18,2,1,0.5,G,I,,I,,,,,FALSE
ii43,,155,2,310,2/4,18,2,1,1,G,I,,ii,,43,,,FALSE
V(64),,156,1,311,2/4,18,2,1,0.5,G,I,,V,,,64,,FALSE
#viio/V,,156,1.5,311.5,2/4,18,2,1,0.5,G,I,,#vii,o,,,V,FALSE
V(4),,156,2,312,2/4,18,2,1,0.5,G,I,,V,,,4,,FALSE
V7,,156,2.5,312.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I\\\\,,157,1,313,2/4,18,2,1,2,G,I,,I,,,,,TRUE
I,,158,1,315,2/4,18,2,1,2,G,I,,I,,,,,FALSE
V43,,159,1,317,2/4,18,2,1,2,G,I,,V,,43,,,FALSE
I6,,160,1,319,2/4,18,2,1,1,G,I,,I,,6,,,FALSE
I,,160,2,320,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V,,161,1,321,2/4,18,2,1,2,G,I,,V,,,,,FALSE
I,,162,1,323,2/4,18,2,1,2,G,I,,I,,,,,FALSE
v,,163,1,325,2/4,18,2,1,2,G,I,,v,,,,,FALSE
ii,,164,1,327,2/4,18,2,1,2,G,I,,ii,,,,,FALSE
vi.i,,165,1,329,2/4,18,2,1,1,G,vi,,i,,,,,FALSE
i6,,165,2,330,2/4,18,2,1,1,G,vi,,i,,6,,,FALSE
V,,166,1,331,2/4,18,2,1,1,G,vi,,V,,,,,FALSE
VI,,166,2,332,2/4,18,2,1,1,G,vi,,VI,,,,,FALSE
V7,,167,1,333,2/4,18,2,1,1,G,vi,,V,,7,,,FALSE
.Ger6,,167,2,334,2/4,18,2,1,1,G,vi,,Ger,,6,,,FALSE
V7,,168,1,335,2/4,18,2,1,1,G,vi,,V,,7,,,FALSE
.Ger6,,168,2,336,2/4,18,2,1,1,G,vi,,Ger,,6,,,FALSE
V\\\\,,169,1,337,2/4,18,2,1,4,G,vi,,V,,,,,TRUE
V/iv,,171,1,341,2/4,18,2,1,4,G,vi,,V,,,,iv,FALSE
iv,,173,1,345,2/4,18,2,1,1.5,G,vi,,iv,,,,,FALSE
V7,,173,2.5,346.5,2/4,18,2,1,2.5,G,vi,,V,,7,,,FALSE
i,,175,1,349,2/4,18,2,1,1,G,vi,,i,,,,,FALSE
ii%65,,175,2,350,2/4,18,2,1,0.5,G,vi,,ii,%,65,,,FALSE
V7,,175,2.5,350.5,2/4,18,2,1,0.5,G,vi,,V,,7,,,FALSE
I6,,176,1,351,2/4,18,2,1,0.5,G,vi,,I,,6,,,FALSE
I,,176,1.5,351.5,2/4,18,2,1,1.5,G,vi,,I,,,,,FALSE
i,,177,1,353,2/4,18,2,1,1,G,vi,,i,,,,,FALSE
iio6,,177,2,354,2/4,18,2,1,0.5,G,vi,,ii,o,6,,,FALSE
V7,,177,2.5,354.5,2/4,18,2,1,0.5,G,vi,,V,,7,,,FALSE
I.vi,,178,1,355,2/4,18,2,1,1,G,I,,vi,,,,,FALSE
ii6,,178,2,356,2/4,18,2,1,0.5,G,I,,ii,,6,,,FALSE
V7,,178,2.5,356.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I\\\\,,179,1,357,2/4,18,2,1,1,G,I,,I,,,,,TRUE
V43/V,,179,2,358,2/4,18,2,1,0.5,G,I,,V,,43,,V,FALSE
V7/V,,179,2.5,358.5,2/4,18,2,1,0.5,G,I,,V,,7,,V,FALSE
V[V6,,180,1,359,2/4,18,2,1,1,G,I,V,V,,6,,,FALSE
viio,,180,2,360,2/4,18,2,1,1,G,I,V,vii,o,,,,FALSE
I,,181,1,361,2/4,18,2,1,1,G,I,V,I,,,,,FALSE
#viio6/V,,181,2,362,2/4,18,2,1,1,G,I,V,#vii,o,6,,V,FALSE
V6,,182,1,363,2/4,18,2,1,1,G,I,V,V,,6,,,FALSE
viio,,182,2,364,2/4,18,2,1,1,G,I,V,vii,o,,,,FALSE
vi6,,183,1,365,2/4,18,2,1,1,G,I,V,vi,,6,,,FALSE
#viio43/V,,183,2,366,2/4,18,2,1,1,G,I,V,#vii,o,43,,V,FALSE
V],,184,1,367,2/4,18,2,1,1,G,I,V,V,,,,,FALSE
ii7,,184,2,368,2/4,18,2,1,1,G,I,,ii,,7,,,FALSE
V,,185,1,369,2/4,18,2,1,1,G,I,,V,,,,,FALSE
V7/V,,185,2,370,2/4,18,2,1,1,G,I,,V,,7,,V,FALSE
V,,186,1,371,2/4,18,2,1,2,G,I,,V,,,,,FALSE
V\\\\,,187,1,373,2/4,18,2,1,2,G,I,,V,,,,,TRUE
I,,188,1,375,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V2,,188,2,376,2/4,18,2,1,1,G,I,,V,,2,,,FALSE
I6,,189,1,377,2/4,18,2,1,1.5,G,I,,I,,6,,,FALSE
#viio65/vi,,189,2.5,378.5,2/4,18,2,1,0.5,G,I,,#vii,o,65,,vi,FALSE
vi6,,190,1,379,2/4,18,2,1,0.5,G,I,,vi,,6,,,FALSE
#viio7/vi,,190,1.5,379.5,2/4,18,2,1,0.5,G,I,,#vii,o,7,,vi,FALSE
vi,,190,2,380,2/4,18,2,1,0.5,G,I,,vi,,,,,FALSE
V65/V,,190,2.5,380.5,2/4,18,2,1,0.5,G,I,,V,,65,,V,FALSE
V,,191,1,381,2/4,18,2,1,2,G,I,,V,,,,,FALSE
ii,,192,1,383,2/4,18,2,1,1,G,I,,ii,,,,,FALSE
V2/ii,,192,2,384,2/4,18,2,1,1,G,I,,V,,2,,ii,FALSE
ii6,,193,1,385,2/4,18,2,1,1.5,G,I,,ii,,6,,,FALSE
V2,,193,2.5,386.5,2/4,18,2,1,0.5,G,I,,V,,2,,,FALSE
I6,,194,1,387,2/4,18,2,1,0.5,G,I,,I,,6,,,FALSE
ii6,,194,1.5,387.5,2/4,18,2,1,0.5,G,I,,ii,,6,,,FALSE
V(64),,194,2,388,2/4,18,2,1,0.5,G,I,,V,,,64,,FALSE
V7,,194,2.5,388.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I\\\\,,195,1,389,2/4,18,2,1,2,G,I,,I,,,,,TRUE
I,,196,1,391,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V2,,196,2,392,2/4,18,2,1,1,G,I,,V,,2,,,FALSE
I6,,197,1,393,2/4,18,2,1,1.5,G,I,,I,,6,,,FALSE
V43,,197,2.5,394.5,2/4,18,2,1,0.5,G,I,,V,,43,,,FALSE
I,,198,1,395,2/4,18,2,1,0.5,G,I,,I,,,,,FALSE
V6,,198,1.5,395.5,2/4,18,2,1,0.5,G,I,,V,,6,,,FALSE
vi7,,198,2,396,2/4,18,2,1,0.5,G,I,,vi,,7,,,FALSE
V43/V,,198,2.5,396.5,2/4,18,2,1,0.5,G,I,,V,,43,,V,FALSE
V\\\\,,199,1,397,2/4,18,2,1,2,G,I,,V,,,,,TRUE
vi.iv,,200,1,399,2/4,18,2,1,1,G,vi,,iv,,,,,FALSE
#viio64/iv,,200,2,400,2/4,18,2,1,1,G,vi,,#vii,o,64,,iv,FALSE
iv6,,201,1,401,2/4,18,2,1,1.5,G,vi,,iv,,6,,,FALSE
V43/iv,,201,2.5,402.5,2/4,18,2,1,0.5,G,vi,,V,,43,,iv,FALSE
iv,,202,1,403,2/4,18,2,1,0.5,G,vi,,iv,,,,,FALSE
i64,,202,1.5,403.5,2/4,18,2,1,0.5,G,vi,,i,,64,,,FALSE
iv6,,202,2,404,2/4,18,2,1,0.5,G,vi,,iv,,6,,,FALSE
.Ger6,,202,2.5,404.5,2/4,18,2,1,0.5,G,vi,,Ger,,6,,,FALSE
V\\\\,,203,1,405,2/4,18,2,1,1,G,vi,,V,,,,,TRUE
V(6),,203,2,406,2/4,18,2,1,0.5,G,vi,,V,,,6,,FALSE
V65,,203,2.5,406.5,2/4,18,2,1,0.5,G,vi,,V,,65,,,FALSE
i(4+2),,204,1,407,2/4,18,2,1,0.5,G,vi,,i,,,4+2,,FALSE
i,,204,1.5,407.5,2/4,18,2,1,0.5,G,vi,,i,,,,,FALSE
V(6),,204,2,408,2/4,18,2,1,0.5,G,vi,,V,,,6,,FALSE
V65,,204,2.5,408.5,2/4,18,2,1,0.5,G,vi,,V,,65,,,FALSE
i(4+2),,205,1,409,2/4,18,2,1,0.5,G,vi,,i,,,4+2,,FALSE
i,,205,1.5,409.5,2/4,18,2,1,0.5,G,vi,,i,,,,,FALSE
V(6),,205,2,410,2/4,18,2,1,0.5,G,vi,,V,,,6,,FALSE
V65,,205,2.5,410.5,2/4,18,2,1,0.5,G,vi,,V,,65,,,FALSE
i(4+2),,206,1,411,2/4,18,2,1,0.5,G,vi,,i,,,4+2,,FALSE
i,,206,1.5,411.5,2/4,18,2,1,0.5,G,vi,,i,,,,,FALSE
#viio43/iv,,206,2,412,2/4,18,2,1,1,G,vi,,#vii,o,43,,iv,FALSE
iv6,,207,1,413,2/4,18,2,1,0.5,G,vi,,iv,,6,,,FALSE
I.ii,,207,1.5,413.5,2/4,18,2,1,0.5,G,I,,ii,,,,,FALSE
V(64),,207,2,414,2/4,18,2,1,0.5,G,I,,V,,,64,,FALSE
V7,,207,2.5,414.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I\\\\,,208,1,415,2/4,18,2,1,1,G,I,,I,,,,,TRUE
I,,208,2,416,2/4,18,2,1,0.5,G,I,,I,,,,,FALSE
vi.V65,,208,2.5,416.5,2/4,18,2,1,0.5,G,vi,,V,,65,,,FALSE
i(4+2),,209,1,417,2/4,18,2,1,0.5,G,vi,,i,,,4+2,,FALSE
i,,209,1.5,417.5,2/4,18,2,1,0.5,G,vi,,i,,,,,FALSE
V(6),,209,2,418,2/4,18,2,1,0.5,G,vi,,V,,,6,,FALSE
